,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 05:11:00+00:00,coinbase,BTCEUR,2023-03-07 05:11:00,21019.3,21019.3,21019.3,21019.3,0.05279
2023-03-07 05:12:00+00:00,coinbase,BTCEUR,2023-03-07 05:11:00,21019.3,21019.3,21019.3,21019.3,0.0
2023-03-07 05:13:00+00:00,coinbase,BTCEUR,2023-03-07 05:13:00,21018.16,21018.93,21017.95,21018.27,0.6024365
2023-03-07 05:14:00+00:00,coinbase,BTCEUR,2023-03-07 05:14:00,21017.01,21018.27,21017.01,21018.27,0.00107723
2023-03-07 05:15:00+00:00,coinbase,BTCEUR,2023-03-07 05:15:00,21018.27,21018.27,21018.27,21018.27,0.15004757
2023-03-07 05:16:00+00:00,coinbase,BTCEUR,2023-03-07 05:16:00,21018.27,21019.88,21018.27,21019.88,0.4359611
2023-03-07 05:17:00+00:00,coinbase,BTCEUR,2023-03-07 05:17:00,21019.72,21021.32,21018.29,21018.29,0.56572169
2023-03-07 05:18:00+00:00,coinbase,BTCEUR,2023-03-07 05:18:00,21016.46,21016.46,21012.43,21012.43,0.00614464
2023-03-07 05:19:00+00:00,coinbase,BTCEUR,2023-03-07 05:19:00,21009.77,21013.18,21009.76,21013.18,1.3060483
2023-03-07 05:20:00+00:00,coinbase,BTCEUR,2023-03-07 05:20:00,21013.18,21015.6,21012.07,21014.63,0.2530612
2023-03-07 05:21:00+00:00,coinbase,BTCEUR,2023-03-07 05:21:00,21013.59,21016.24,21013.23,21015.76,1.08250996
2023-03-07 05:22:00+00:00,coinbase,BTCEUR,2023-03-07 05:22:00,21015.37,21022.8,21015.24,21020.88,0.89212
2023-03-07 05:23:00+00:00,coinbase,BTCEUR,2023-03-07 05:23:00,21019.84,21019.84,21016.61,21016.61,0.3
2023-03-07 05:24:00+00:00,coinbase,BTCEUR,2023-03-07 05:24:00,21015.49,21015.49,21015.49,21015.49,0.10230499
2023-03-07 05:25:00+00:00,coinbase,BTCEUR,2023-03-07 05:25:00,21016.21,21016.21,21015.63,21016.12,0.28687423
